task_id,taxonomy,profile,n_candidates,topsis_rank_full,topsis_rank_no_trust,kendall_tau,top1_agrees,rank_change_max
128,infra.compute.gpu,quality_first,2,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]","[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,True,0
129,ai.audio.tts,balanced,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",1.0,True,0
130,tool.data.search,cost_first,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""tavily/search-api@v1"", ""exa/search-api@v1""]",1.0,True,0
131,ai.audio.tts,quality_first,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",1.0,True,0
132,tool.devops.deployment,quality_first,2,"[""vercel/platform@v1"", ""fly/machines@v1""]","[""vercel/platform@v1"", ""fly/machines@v1""]",1.0,True,0
133,tool.data.search,speed_first,2,"[""exa/search-api@v1"", ""tavily/search-api@v1""]","[""exa/search-api@v1"", ""tavily/search-api@v1""]",1.0,True,0
134,ai.llm.chat,cost_first,8,"[""minimax/m2.7@2.7"", ""deepseek/deepseek-v4-flash@4.0"", ""qwen/qwen3-max@3.0"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5"", ""google/gemini-2.5-pro@2.5"", ""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0""]","[""minimax/m2.7@2.7"", ""deepseek/deepseek-v4-flash@4.0"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5"", ""qwen/qwen3-max@3.0"", ""google/gemini-2.5-pro@2.5"", ""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0""]",0.8571428571428571,True,2
135,ai.audio.stt,quality_first,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,True,0
136,tool.data.search,balanced,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""tavily/search-api@v1"", ""exa/search-api@v1""]",1.0,True,0
137,ai.audio.tts,speed_first,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",1.0,True,0
138,ai.llm.chat,cost_first,8,"[""minimax/m2.7@2.7"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5"", ""qwen/qwen3-max@3.0"", ""deepseek/deepseek-v4-flash@4.0"", ""google/gemini-2.5-pro@2.5"", ""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0""]","[""minimax/m2.7@2.7"", ""deepseek/deepseek-v4-flash@4.0"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5"", ""qwen/qwen3-max@3.0"", ""google/gemini-2.5-pro@2.5"", ""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0""]",0.7857142857142857,True,3
139,ai.llm.chat,balanced,8,"[""minimax/m2.7@2.7"", ""deepseek/deepseek-v4-flash@4.0"", ""moonshot/kimi-k2.5@2.5"", ""qwen/qwen3-max@3.0"", ""zhipu/glm-5@5.0"", ""google/gemini-2.5-pro@2.5"", ""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0""]","[""minimax/m2.7@2.7"", ""deepseek/deepseek-v4-flash@4.0"", ""qwen/qwen3-max@3.0"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5"", ""openai/gpt-4o@2024-11-20"", ""google/gemini-2.5-pro@2.5"", ""anthropic/claude-sonnet-4@4.0""]",0.7857142857142857,True,2
140,infra.database.vector,cost_first,2,"[""qdrant/cloud@v1"", ""pinecone/index@v3""]","[""qdrant/cloud@v1"", ""pinecone/index@v3""]",1.0,True,0
141,infra.database.postgres,cost_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,True,0
142,infra.database.postgres,balanced,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,True,0
143,tool.data.search,quality_first,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""tavily/search-api@v1"", ""exa/search-api@v1""]",1.0,True,0
144,tool.automation.browser,quality_first,2,"[""steel/browser@v1"", ""browserbase/api@v1""]","[""steel/browser@v1"", ""browserbase/api@v1""]",1.0,True,0
145,tool.communication.chat,speed_first,2,"[""discord/api@v10"", ""slack/web-api@v2""]","[""discord/api@v10"", ""slack/web-api@v2""]",1.0,True,0
146,tool.devops.ci,cost_first,2,"[""circleci/cloud@v2"", ""github/actions@v2""]","[""circleci/cloud@v2"", ""github/actions@v2""]",1.0,True,0
147,ai.code.completion,quality_first,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,True,0
148,tool.data.search,balanced,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""tavily/search-api@v1"", ""exa/search-api@v1""]",1.0,True,0
149,ai.audio.stt,balanced,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,True,0
150,tool.productivity.todo,balanced,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",1.0,True,0
151,tool.data.scraping,quality_first,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,True,0
152,tool.communication.email,speed_first,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,True,0
153,tool.communication.email,speed_first,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,True,0
154,ai.vision.image_generation,balanced,3,"[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]","[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]",1.0,True,0
155,tool.automation.browser,speed_first,2,"[""steel/browser@v1"", ""browserbase/api@v1""]","[""steel/browser@v1"", ""browserbase/api@v1""]",1.0,True,0
156,tool.data.scraping,balanced,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,True,0
157,tool.productivity.spreadsheet,speed_first,2,"[""google/sheets-api@v4"", ""airtable/api@v1""]","[""google/sheets-api@v4"", ""airtable/api@v1""]",1.0,True,0
158,tool.devops.deployment,cost_first,2,"[""vercel/platform@v1"", ""fly/machines@v1""]","[""vercel/platform@v1"", ""fly/machines@v1""]",1.0,True,0
159,tool.automation.browser,speed_first,2,"[""steel/browser@v1"", ""browserbase/api@v1""]","[""steel/browser@v1"", ""browserbase/api@v1""]",1.0,True,0
160,tool.data.search,balanced,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""tavily/search-api@v1"", ""exa/search-api@v1""]",1.0,True,0
161,infra.database.postgres,speed_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,True,0
162,ai.code.completion,balanced,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,True,0
163,tool.data.search,cost_first,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""tavily/search-api@v1"", ""exa/search-api@v1""]",1.0,True,0
164,tool.data.search,speed_first,2,"[""exa/search-api@v1"", ""tavily/search-api@v1""]","[""exa/search-api@v1"", ""tavily/search-api@v1""]",1.0,True,0
165,infra.database.postgres,cost_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,True,0
166,ai.llm.embedding,balanced,2,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]","[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]",1.0,True,0
167,tool.productivity.spreadsheet,balanced,2,"[""google/sheets-api@v4"", ""airtable/api@v1""]","[""google/sheets-api@v4"", ""airtable/api@v1""]",1.0,True,0
168,infra.compute.gpu,balanced,2,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]","[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,True,0
169,ai.llm.embedding,balanced,2,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]","[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]",1.0,True,0
170,tool.devops.ci,speed_first,2,"[""github/actions@v2"", ""circleci/cloud@v2""]","[""circleci/cloud@v2"", ""github/actions@v2""]",-1.0,False,1
171,ai.vision.image_generation,balanced,3,"[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]","[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]",1.0,True,0
172,ai.nlp.translation,cost_first,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,True,0
173,ai.vision.image_generation,cost_first,3,"[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]","[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]",1.0,True,0
174,ai.audio.tts,balanced,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]",1.0,True,0
175,ai.nlp.translation,cost_first,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,True,0
176,tool.data.scraping,speed_first,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,True,0
177,tool.data.search,quality_first,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""tavily/search-api@v1"", ""exa/search-api@v1""]",1.0,True,0
178,tool.communication.email,quality_first,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,True,0
179,infra.database.vector,speed_first,2,"[""qdrant/cloud@v1"", ""pinecone/index@v3""]","[""qdrant/cloud@v1"", ""pinecone/index@v3""]",1.0,True,0
180,tool.data.scraping,cost_first,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,True,0
181,infra.database.postgres,cost_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,True,0
182,ai.vision.image_generation,balanced,3,"[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]","[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]",1.0,True,0
183,tool.devops.deployment,cost_first,2,"[""vercel/platform@v1"", ""fly/machines@v1""]","[""vercel/platform@v1"", ""fly/machines@v1""]",1.0,True,0
184,tool.devops.deployment,quality_first,2,"[""vercel/platform@v1"", ""fly/machines@v1""]","[""vercel/platform@v1"", ""fly/machines@v1""]",1.0,True,0
185,tool.data.search,cost_first,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""tavily/search-api@v1"", ""exa/search-api@v1""]",1.0,True,0
186,tool.data.scraping,cost_first,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,True,0
187,tool.devops.ci,quality_first,2,"[""github/actions@v2"", ""circleci/cloud@v2""]","[""github/actions@v2"", ""circleci/cloud@v2""]",1.0,True,0
188,tool.devops.ci,balanced,2,"[""circleci/cloud@v2"", ""github/actions@v2""]","[""circleci/cloud@v2"", ""github/actions@v2""]",1.0,True,0
189,ai.vision.image_generation,quality_first,3,"[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]","[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]",1.0,True,0
190,ai.llm.chat,quality_first,8,"[""minimax/m2.7@2.7"", ""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0"", ""deepseek/deepseek-v4-flash@4.0"", ""google/gemini-2.5-pro@2.5"", ""qwen/qwen3-max@3.0"", ""moonshot/kimi-k2.5@2.5"", ""zhipu/glm-5@5.0""]","[""minimax/m2.7@2.7"", ""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0"", ""deepseek/deepseek-v4-flash@4.0"", ""google/gemini-2.5-pro@2.5"", ""qwen/qwen3-max@3.0"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5""]",0.9285714285714286,True,1
191,ai.audio.stt,quality_first,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,True,0
192,ai.code.completion,balanced,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,True,0
193,ai.nlp.translation,speed_first,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,True,0
194,tool.devops.ci,quality_first,2,"[""github/actions@v2"", ""circleci/cloud@v2""]","[""github/actions@v2"", ""circleci/cloud@v2""]",1.0,True,0
195,tool.data.scraping,speed_first,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,True,0
196,tool.productivity.todo,cost_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",1.0,True,0
197,infra.database.postgres,cost_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,True,0
198,tool.devops.ci,speed_first,2,"[""circleci/cloud@v2"", ""github/actions@v2""]","[""circleci/cloud@v2"", ""github/actions@v2""]",1.0,True,0
199,ai.video.generation,speed_first,2,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]","[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]",1.0,True,0
200,infra.database.postgres,speed_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,True,0
